종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
465770,STX그린로지스,KOSPI,운수창고업,12840,-910,-6.62,92076050880
77970,STX엔진,KOSPI,기계,16070,270,1.71,369753087280
71970,STX중공업,KOSPI,기계,17510,110,0.63,499957234190
2820,SUN&L,KOSPI,종이목재,2975,-55,-1.82,37508767275
84870,TBH글로벌,KOSPI,섬유의복,1394,0,0,29074405686
2710,TCC스틸,KOSPI,철강금속,50900,-100,-0.2,1334277177300
69260,TKG휴켐스,KOSPI,화학,19320,-100,-0.51,789774320160
7980,TP,KOSPI,섬유의복,1642,26,1.61,84029563460
2900,TYM,KOSPI,기계,4145,10,0.24,186736212620
24070,WISCOM,KOSPI,화학,2345,0,0,35940497110
37270,YG PLUS,KOSPI,서비스업,3345,45,1.36,212171376450
500,가온전선,KOSPI,전기전자,46950,1500,3.3,345455564700
860,강남제비스코,KOSPI,화학,25100,100,0.4,163150000000
35250,강원랜드,KOSPI,서비스업,13950,10,0.07,2984469975000
11420,갤럭시아에스엠,KOSPI,서비스업,1951,69,3.67,53749355444
2100,경농,KOSPI,화학,10180,80,0.79,198739813500
9450,경동나비엔,KOSPI,전기전자,51900,-300,-0.57,756109924800
267290,경동도시가스,KOSPI,전기가스업,19660,110,0.56,115903681960
12320,경동인베스트,KOSPI,기타금융,81600,4000,5.15,192985876800
50,경방,KOSPI,유통업,7720,0,0,211645884400
214390,경보제약,KOSPI,의약품,7440,0,0,177867038400
12610,경인양행,KOSPI,화학,3425,15,0.44,142536050125
9140,경인전자,KOSPI,전기전자,22100,-250,-1.12,34714613700
13580,계룡건설,KOSPI,건설업,13280,20,0.15,118602444960
12200,계양전기,KOSPI,기계,1714,12,0.71,46659928906
12205,계양전기우,KOSPI,기계,4095,45,1.11,4787378505
2140,고려산업,KOSPI,음식료품,2975,40,1.36,74194789375
10130,고려아연,KOSPI,철강금속,536000,4000,0.75,11096959688000
2240,고려제강,KOSPI,철강금속,21450,-50,-0.23,536250000000
9290,광동제약,KOSPI,의약품,6450,0,0,338114488950
17040,광명전기,KOSPI,전기전자,2195,25,1.15,95126064925
17900,광전자,KOSPI,전기전자,2085,30,1.46,120812745855
37710,광주신세계,KOSPI,유통업,30400,-100,-0.33,241898576000
30610,교보증권,KOSPI,증권,5120,110,2.2,583490360320
339770,교촌에프앤비,KOSPI,유통업,9660,180,1.9,241331336400
7690,국도화학,KOSPI,화학,39250,1350,3.56,353666678000
5320,국동,KOSPI,유통업,500,-1,-0.2,33663948500
1140,국보,KOSPI,운수창고업,2110,0,0,33456978680
2720,국제약품,KOSPI,의약품,5870,120,2.09,124208213840
83420,그린케미칼,KOSPI,화학,7610,210,2.84,182640000000
14530,극동유화,KOSPI,화학,3985,50,1.27,138954638700
14280,금강공업,KOSPI,철강금속,4970,10,0.2,145766904290
14285,금강공업우,KOSPI,철강금속,8770,30,0.34,5173203750
8870,금비,KOSPI,비금속광물,60800,0,0,60800000000
1570,금양,KOSPI,화학,83100,100,0.12,4823958074700
2990,금호건설,KOSPI,건설업,3810,0,0,140793196950
2995,금호건설우,KOSPI,건설업,10430,180,1.76,3048334380
11780,금호석유,KOSPI,화학,157300,10800,7.37,4352912406700
11785,금호석유우,KOSPI,화학,67800,2500,3.83,204992350800
214330,금호에이치티,KOSPI,운수장비,558,2,0.36,119364085098
1210,금호전기,KOSPI,전기전자,707,-3,-0.42,27209051247
73240,금호타이어,KOSPI,화학,6320,-200,-3.07,1815485013840
92440,기신정기,KOSPI,기계,2800,5,0.18,81760000000
270,기아,KOSPI,운수장비,124600,-1700,-1.35,49822358758200
24110,기업은행,KOSPI,은행,14180,-70,-0.49,11307498822420
13700,까뮤이앤씨,KOSPI,건설업,1447,-32,-2.16,65335349160
4540,깨끗한나라,KOSPI,종이목재,2435,35,1.46,90681087455
4545,깨끗한나라우,KOSPI,종이목재,13750,-130,-0.94,5034700000
1260,남광토건,KOSPI,건설업,6100,-30,-0.49,59978689200
8350,남선알미늄,KOSPI,철강금속,1660,30,1.84,214271289400
8355,남선알미우,KOSPI,철강금속,18000,70,0.39,5542020000
4270,남성,KOSPI,유통업,1698,-22,-1.28,61488247680
3920,남양유업,KOSPI,음식료품,587000,0,0,422640000000
3925,남양유업우,KOSPI,음식료품,390000,-3500,-0.89,78000000000
25860,남해화학,KOSPI,화학,7060,0,0,350732631580
5720,넥센,KOSPI,화학,4790,-10,-0.21,256475649830
5725,넥센우,KOSPI,화학,3080,-25,-0.81,11089848000
2350,넥센타이어,KOSPI,화학,7840,0,0,765716155680
2355,넥센타이어1우B,KOSPI,화학,3310,45,1.38,21515000000
92790,넥스틸,KOSPI,철강금속,9310,-210,-2.21,242078620000
251270,넷마블,KOSPI,서비스업,55500,-900,-1.6,4770419361000
90350,노루페인트,KOSPI,화학,9650,-10,-0.1,193000000000
90355,노루페인트우,KOSPI,화학,14300,-30,-0.21,6622701800
320,노루홀딩스,KOSPI,기타금융,12930,30,0.23,171854582430
325,노루홀딩스우,KOSPI,기타금융,31550,0,0,7684286450
6280,녹십자,KOSPI,의약품,119000,1000,0.85,1390698022000
5250,녹십자홀딩스,KOSPI,서비스업,13620,20,0.15,640524220200
5257,녹십자홀딩스2우,KOSPI,서비스업,24900,100,0.4,21065151000
4370,농심,KOSPI,음식료품,453500,1500,0.33,2758478147000
72710,농심홀딩스,KOSPI,기타금융,72300,0,0,335312217000
58730,다스코,KOSPI,기계,3090,0,0,59936547690
30210,다올투자증권,KOSPI,증권,3050,0,0,185778873300
23590,다우기술,KOSPI,서비스업,19140,-10,-0.05,858747049380
145210,다이나믹디자인,KOSPI,기계,4215,45,1.08,72924106995
19680,대교,KOSPI,서비스업,2380,-5,-0.21,201592783000
19685,대교우B,KOSPI,서비스업,1389,9,0.65,26984089110
6370,대구백화점,KOSPI,유통업,7030,-120,-1.68,76075925330
8060,대덕,KOSPI,기타금융,6440,-20,-0.31,218252566000
00806K,대덕1우,KOSPI,기타금융,7210,200,2.85,8741093970
353200,대덕전자,KOSPI,전기전자,22000,0,0,1087172350000
35320K,대덕전자1우,KOSPI,전기전자,9090,-70,-0.76,19048267710
490,대동,KOSPI,기계,10350,110,1.07,265382155800
8110,대동전자,KOSPI,전기전자,15040,0,0,157776322880
5750,대림B&Co,KOSPI,비금속광물,3840,-45,-1.16,64021401600
6570,대림통상,KOSPI,기계,3005,-60,-1.96,45751125000
1680,대상,KOSPI,음식료품,26500,1200,4.74,918172662500
1685,대상우,KOSPI,음식료품,19380,690,3.69,26554921740
84690,대상홀딩스,KOSPI,기타금융,11060,1030,10.27,400510670280
84695,대상홀딩스우,KOSPI,기타금융,23600,1200,5.36,21558175200
128820,대성산업,KOSPI,유통업,3745,0,0,169406865110
