종목코드	종목명	시장구분	업종명	종가	대비	등락률	시가총액
267320	나인테크	KOSDAQ	IT부품	"3,255"	-10	-0.31	"142,126,658,520"
111710	남화산업	KOSDAQ	오락·문화	"6,130"	100	1.66	"126,204,440,000"
091590	남화토건	KOSDAQ	건설	"6,790"	50	0.74	"79,714,600,000"
168330	내츄럴엔도텍	KOSDAQ	기타서비스	"2,160"	-20	-0.92	"68,590,584,000"
094860	네오리진	KOSDAQ	소프트웨어	422	45	11.94	"44,082,025,050"
253590	네오셈	KOSDAQ	반도체	"3,955"	-100	-2.47	"164,133,698,365"
212560	네오오토	KOSDAQ	운송장비·부품	"7,370"	-110	-1.47	"58,038,477,310"
095660	네오위즈	KOSDAQ	디지털컨텐츠	"27,400"	-200	-0.72	"603,723,900,600"
042420	네오위즈홀딩스	KOSDAQ	디지털컨텐츠	"25,800"	-200	-0.77	"228,507,142,800"
950220	네오이뮨텍	KOSDAQ	기타서비스	"1,555"	42	2.78	"153,738,908,075"
311390	네오크레마	KOSDAQ	음식료·담배	"7,720"	0	0.00	"62,196,913,400"
085910	네오티스	KOSDAQ	운송장비·부품	"3,390"	-25	-0.73	"47,239,033,020"
092730	네오팜	KOSDAQ	화학	"22,500"	-500	-2.17	"184,665,622,500"
290660	네오펙트	KOSDAQ	의료·정밀기기	"1,250"	30	2.46	"37,476,383,750"
306620	네온테크	KOSDAQ	기계·장비	"2,485"	-15	-0.60	"103,658,313,395"
153460	네이블	KOSDAQ	소프트웨어	"7,260"	30	0.41	"47,407,901,640"
007390	네이처셀	KOSDAQ	제약	"8,180"	-130	-1.56	"524,805,536,080"
033640	네패스	KOSDAQ	반도체	"17,130"	-550	-3.11	"395,004,130,260"
330860	네패스아크	KOSDAQ	반도체	"20,250"	-850	-4.03	"246,726,911,250"
089140	넥스턴바이오	KOSDAQ	기계·장비	"5,380"	0	0.00	"50,591,018,300"
137940	넥스트아이	KOSDAQ	의료·정밀기기	584	-13	-2.18	"45,739,459,328"
396270	넥스트칩	KOSDAQ	반도체	"18,470"	-570	-2.99	"333,395,320,800"
348210	넥스틴	KOSDAQ	반도체	"68,100"	300	0.44	"694,407,391,800"
225570	넥슨게임즈	KOSDAQ	디지털컨텐츠	"16,200"	60	0.37	"1,065,745,674,000"
217270	넵튠	KOSDAQ	출판·매체복제	"8,000"	200	2.56	"372,384,312,000"
104620	노랑풍선	KOSDAQ	기타서비스	"7,000"	-60	-0.85	"110,894,882,000"
194700	노바렉스	KOSDAQ	음식료·담배	"11,120"	-40	-0.36	"208,553,909,760"
285490	노바텍	KOSDAQ	기타제조	"24,450"	-450	-1.81	"258,579,067,950"
106520	노블엠앤비	KOSDAQ	의료·정밀기기	411	0	0.00	"15,082,036,272"
376930	노을	KOSDAQ	의료·정밀기기	"5,790"	20	0.35	"213,923,477,400"
142280	녹십자엠에스	KOSDAQ	제약	"3,960"	-15	-0.38	"83,624,440,680"
234690	녹십자웰빙	KOSDAQ	제약	"6,360"	-10	-0.16	"112,904,475,360"
