ex_dividend_date	record_date	payment_date	ticker_symbol	dividend_per_share
2023-03-24	2023-03-27	2023-04-21	155900	0.0
2023-03-24	2023-03-27	2023-04-10	354760	0.0
2023-03-24	2023-03-27	2023-04-10	35476K	0.0
2023-03-24	2023-03-27	2023-04-10	35476L	0.0
2023-03-24	2023-03-27	2023-04-10	35476M	0.0
2023-03-24	2023-03-27	2023-04-10	35476N	0.0
2023-03-24	2023-03-27	2023-04-10	35476P	0.0
2023-03-24	2023-03-27	2023-04-10	35476Q	0.0
2023-03-24	2023-03-27	2023-04-10	35476R	0.0
2023-02-27	2023-02-28	2023-05-10	321790	0.0
2023-02-27	2023-02-28	2023-05-10	32179K	0.0
2023-02-27	2023-02-28	2023-05-10	32179L	0.0
2023-02-27	2023-02-28	2023-05-31	334890	212.90488
2023-02-27	2023-02-28	2023-05-30	405410	0.0
2023-02-27	2023-02-28	2023-05-30	40541K	0.0
2023-02-27	2023-02-28	2023-05-30	417310	83.0
2023-02-24	2023-02-27	2023-03-21	155900	0.0
2023-01-31	2023-02-01	2023-02-27	419360	0.0
2023-01-30	2023-01-31	2023-04-21	360000	0.0
2023-01-30	2023-01-31	2023-04-21	36000K	0.0
2023-01-30	2023-01-31	2023-04-28	443100	0.0
2023-01-30	2023-01-31	2023-04-28	44310K	0.0
2023-01-30	2023-01-31	2023-04-28	44310L	0.0
2023-01-30	2023-01-31	2023-04-28	44310M	0.0
2023-01-30	2023-01-31	2023-04-28	432320	165.0
2023-01-26	2023-01-27	2023-02-21	155900	0.0
2023-01-13	2023-01-16	2023-02-01	203810	0.0
2022-12-30	2023-01-01	2023-04-07	003540	1200.0
2022-12-30	2023-01-01	2023-04-07	003545	1250.0
2022-12-30	2023-01-01	2023-04-07	003547	1200.0
2022-12-30	2022-12-31	2023-04-24	318010	100.0
2022-12-30	2022-12-31	2023-03-30	138930	625.0
2022-12-30	2022-12-31	2023-04-21	001460	3000.0
2022-12-30	2022-12-31	2023-04-21	001465	3050.0
2022-12-30	2022-12-31	2023-04-28	000990	1300.0
2022-12-30	2022-12-31	2023-04-28	000995	1350.0
2022-12-30	2022-12-31		000997	0.0
2022-12-30	2022-12-31	2023-04-13	139130	650.0
2022-12-30	2022-12-31	2023-04-14	004840	40.0
2022-12-30	2022-12-31	2023-04-10	017940	3600.0
2022-12-30	2022-12-31	2023-04-21	089470	120.0
2022-12-30	2022-12-31	2023-04-10	175330	715.0
2022-12-30	2022-12-31	2023-04-21	143500	0.0
2022-12-30	2022-12-31	2023-04-10	105560	1450.0
2022-12-30	2022-12-31	2023-04-27	024120	150.0
2022-12-30	2022-12-31	2023-04-21	060720	300.0
2022-12-30	2022-12-31	2023-04-14	001940	600.0
2022-12-30	2022-12-31	2023-04-14	071430	0.0
2022-12-30	2022-12-31	2023-04-04	025000	2250.0
2022-12-30	2022-12-31	2023-04-06	092230	2400.0
