allocation_base_date	cash_dividend_payment_date	ticker_symbol	dividend_per_share
20221231	20230428	002355	105
20221231	20230419	038990	139000
20221231	20230417	348210	500
20221231	20230428	298420	0
20221231	20230421	090350	275
20221231	20230421	090355	280
20221231	20230421	000320	500
20221231	20230421	000325	505
20221231	20230420	194700	150
20221231	20230417	285490	200
20221231	20230407	006280	1750
20221231	20230407	234690	100
20221231	20230407	005250	300
20221231	20230407	005255	305
20221231	20230407	005257	300
20221231	20230424	004370	5000
20221231	20230427	072710	2500
20221231	20230428	054050	200
20221231		419970	0
20221231		41997M	0
20221231		41997K	0
20221231		41997L	0
20221231		41997N	0
20221231		41997P	0
20221231		41997Q	0
20221231	20230420	270870	250
20221231	20230418	349200	0
20221231	20230421	144960	50
20221231	20230414	030210	0
20221231	20230414	03021K	0
20221231	20230414	03021L	0
20221231	20230414	023590	600
20221231	20230418	032190	300
20221231	20230419	009280	0
20221231	20230407	019680	0
20221231	20230407	019685	15
20221231	20230414	006370	50
20221231	20230414	006375	100
20221231	20230411	008060	400
20221231	20230411	00806K	405
20221231	20230411	353200	400
20221231	20230411	35320K	405
20221231	20230424	000490	100
20221231	20230424	00049K	100
20221231	20230419	020400	60
20221231	20230418	008830	40
20221231	20230428	048470	30
20221231	20230424	004780	100
20221231	20230331	080610	2000
20221231	20230410	005750	110
20221231	20230421	017650	100
20221231	20230413	006570	30
20221231	20230417	317850	90
20221231	20230417	078140	50
20221231	20230421	001680	800
20221231	20230421	001685	810
20221231	20230421	084690	270
20221231	20230421	084695	280
20221231	20230419	036480	75
20221231	20230425	117580	250
20221231	20230426	016710	250
20221231	20230411	006580	40
20221231	20230407	003090	100
20221231	20230407	069620	600
20221231	20230414	007680	300
20221231	20230421	000430	100
20221231	20230419	048910	100
20221231	20230412	005710	175
20221231	20230421	003220	350
20221231	20230417	290120	200
20221231	20230405	048740	100
20221231	20230420	120240	400
20221231	20230418	003310	35
20221231	20230414	078600	100
20221231	20230421	015230	200
20221231	20230425	140520	150
20221231	20230407	131220	60
20221231	20230414	054670	100
20221231	20230421	023910	650
20221231	20230320	006650	1000
20221231		430970	0
20221231		43097K	0
20221231	20230331	43097L	0
20221231		43097M	0
20221231	20230331	43097N	0
20221231	20230428	084010	780
20221231	20230403	001790	120
20221231	20230403	001795	125
20221231		001797	0
20221231	20230412	001130	2500
20221231	20230421	003490	750
20221231	20230421	003495	800
20221231	20230425	003830	750
20221231	20230329	016090	110
20221231	20230414	067080	100
20221231	20230407	298540	400
20221231	20230407	29854K	0
20221231	20230414	192080	600
20221231	20230421	012510	123
20221231	20230421	01251K	3408
20221231	20230414	004830	45
20221231	20230414	004835	50
20221231	20230411	090410	20
20221231	20230427	263600	70
20221231	20230417	446530	100
20221231	20230414	145720	300
20221231	20230411	067990	360
20221231	20230407	193030	0
20221231	20230407	19303P	30
20221231	20230407	19303M	0
20221231	20230407	19303N	20
20221231	20230407	002150	280
20221231	20230407	006620	110
20221231	20230421	005160	130
20221231	20230421	075970	80
20221231	20230421	086450	180
20221231	20230421	08645K	180
20221231	20230407	001230	500
20221231	20230403	023450	300
20221231	20230410	222070	100
20221231	20230330	007590	250
20221231	20230330	007595	255
20221231	20230330	007597	0
20221231	20230420	005960	500
20221231	20230420	005965	550
20221231	20230307	026960	730
20221231	20230425	102260	200
20221231	20230418	033500	350
20221231	20230425	025950	150
20221231	20230414	060970	0
20221231	20230418	000640	1000
20221231	20230419	088130	200
20221231	20230414	028100	500
20221231	20230331	282690	1000
20221231	20230411	041930	120
20221231	20230420	001520	40
20221231	20230420	001525	90
20221231	20230420	001527	150
20221231	20230420	001529	150
20221231	20230420	00152A	150
20221231	20230330	060380	50
20221231	20230414	079960	300
20221231	20230407	060830	0
20221231	20230424	092780	60
20221231	20230428	013120	160
20221231	20230418	006040	1100
20221231	20230420	030720	250
20221231	20230421	014820	600
20221231	20230421	014825	650
20221231	20230421	049770	3500
20221231	20230414	163560	120
20221231	20230410	109860	400
20221231	20230407	004890	3000
20221231	20230428	002690	10
20221231	20230421	005290	130
20221231	20230420	000020	180
20221231	20230426	389930	2033
20221231	20230426	38993L	2033
20221231	20230428	000150	2000
20221231	20230428	000155	2050
20221231	20230428	000157	2000
20221231	20230426	241560	750
20221231	20230428	131970	160
20221231	20230428	13197K	160
20221231	20230420	016740	80
20221231	20230421	013900	600
20221231		035430	0
20221231	20230427	03543L	0
20221231	20230427	03543K	0
20221231	20230419	192650	200
20221231	20230419	187870	210
20221231	20230414	016610	170
20221231	20230407	005830	4600
20221231	20230417	066670	50
20221231	20230418	024090	900
20221231	20230413	003160	100
20221231	20230421	110990	300
20221231	20230425	263690	317
20221231	20230414	214680	0
20221231	20230414	21468K	.1
20221231	20230421	155660	60
20221231	20230421	069730	60
20221231	20230412	092070	200
20221231	20230331	007340	2000
20221231	20230421	000210	1000
20221231	20230421	000215	1050
20221231	20230421	001880	250
20221231	20230421	00188K	1196
20221231	20230421	375500	1000
20221231	20230421	37550K	1050
20221231	20230421	37550L	1000
20221231	20230421	068790	125
20221231	20230412	013570	120
20221231	20230412	210540	250
20221231	20230424	104460	100
20221231	20230421	197140	30
20221231	20230406	068930	200
20221231	20230417	033130	20
20221231	20230421	105740	200
20221231	20230412	263020	50
20221231	20230407	131180	40
20221231	20230421	232680	50
20221231	20230426	300120	50
20221231	20230410	171120	200
20221231	20230406	115390	300
20221231	20230425	217500	30
20221231	20230404	038390	700
20221231	20230412	228850	300
20221231	20230405	128500	0
20221231	20230411	067730	60
20221231	20230404	071280	50
20221231	20230421	089860	900
20221231	20230428	023530	3300
20221231	20230420	020150	300
20221231	20230421	280360	2300
20221231	20230322	330590	143.13495125
20221231	20230421	004000	3500
20221231	20230414	286940	700
20221231	20230428	004990	1500
20221231	20230428	00499K	1550
20221231	20230421	005300	3300
20221231	20230421	005305	3305
20221231	20230428	011170	3500
20221231	20230426	071840	300
20221231	20230421	085370	322
20221231		085375	0
20221231	20230421	08537M	151
20221231	20230427	058470	3000
20221231	20230425	012700	500
20221231	20230414	277070	28
20221231	20230417	098120	80
20221231	20230421	038290	300
20221231	20230425	044320	250
20221231	20230421	267980	1200
20221231	20230417	005990	150
20221231	20230410	093520	120
20221231	20230228	088980	390
20221231	20230414	067280	800
20221231	20230414	072870	1050
20221231	20230414	215200	2100
20221231	20230417	041920	50
20221231		249680	0
20221231	20230428	24968K	0
20221231	20230428	24968L	0
20221231	20230428	24968M	0
20221231	20230331	138040	105
20221231	20230329	008560	135
20221231	20230329	00856P	0
20221231	20230329	00856Q	0
20221231	20230329	00856R	0
20221231	20230329	00856S	0
20221231	20230414	241770	455
20221231	20230417	059210	20
20221231	20230421	321080	0
20221231	20230421	058110	30
20221231	20230411	012690	50
20221231	20230421	005360	70
20221231	20230419	417970	300
20221231	20230331	204210	1572
20221231	20230411	101330	70
20221231	20230428	012860	10
20221231	20230428	333050	14
20221231	20230406	009680	400
20221231	20230420	118990	246
20221231	20230331	320340	0
20221231	20230331	32034L	0
20221231	20230331	32034M	0
20221231	20230331	32034N	0
20221231	20230407	001810	15
20221231	20230407	009200	50
20221231	20230407	009580	150
20221231	20230426	033920	230
20221231	20230405	008420	50
20221231	20230405	095500	60
20221231	20230228	094800	250
20221231	20230411	006800	200
20221231	20230411	006805	220
20221231	20230411	00680K	200
20221231	20230627	170840	0
20221231	20230414	207760	10
20221231	20230410	002840	500
20221231	20230406	268280	1400
20221231	20230417	107590	700
20221231	20230331	134380	1500
20221231	20230421	003650	2500
20221231	20230426	402350	0
20221231	20230412	206640	150
20221231	20230411	191390	0
20221231	20230417	377740	490
20221231	20230410	099430	70
20221231	20230410	09943N	70
20221231	20230413	043150	100
20221231	20230418	001340	60
20221231	20230410	035150	150
20221231	20230414	019010	30
20221231	20230414	443630	1050
20221231	20230414	44363K	1050
20221231	20230421	007210	25
20221231	20230426	225530	150
20221231	20230424	250000	300
20221231	20230421	002760	7
20221231	20230411	003850	100
20221231	20230406	001270	1500
20221231	20230406	001275	1550
20221231	20230418	026940	75
20221231	20230421	011390	250
20221231	20230403	008470	50
20221231	20230410	228350	0
20221231	20230412	100120	700
20221231	20230417	337930	40
20221231	20230414	099390	60
20221231	20230414	064480	150
20221231	20230418	251630	100
20221231	20230425	346150	878
20221231	20230426	318410	200
20221231	20230414	100220	100
20221231	20230427	200780	100
20221231	20230428	031320	3700
20221231	20230418	141000	150
20221231	20230417	090460	250
20221231	20230407	086670	200
20221231	20230421	335890	10
20221231	20230414	027410	110
20221231	20230414	282330	4100
20221231	20230425	126600	100
20221231	20230411	082920	200
20221231	20230411	042370	50
20221231	20230417	032850	61
20221231	20230407	093190	400
20221231	20230406	005180	1500
20221231	20230412	143240	700
20221231	20230419	003960	350
20221231	20230419	003965	400
20221231	20230420	007160	350
20221231	20230420	014710	40
20221231	20230421	006090	120
20221231	20230424	419120	180
20221231	20230421	008270	0
20221231	20230425	388740	0
20221231	20230420	014970	75
20221231	20230424	018310	100
20221231	20230428	053700	50
20221231	20230427	023600	175
20221231	20230414	006400	1030
20221231	20230414	006405	1080
20221231	20230428	006660	80
20221231	20230414	028260	2300
20221231	20230414	02826K	2350
20221231	20230414	032830	3000
20221231	20230414	018260	3200
20221231	20230414	009150	2100
20221231	20230414	009155	2150
20221231	20230414	005930	361
20221231	20230414	005935	362
20221231	20230413	016360	1700
20221231	20230412	068290	200
20221231	20230413	029780	2500
20221231	20230414	000810	13800
20221231	20230414	000815	13805
20221231	20230414	006110	250
20221231	20230405	374310	4000
20221231	20230412	009300	400
20221231	20230405	145990	1250
20221231	20230405	145995	1300
20221231	20230421	003230	600
20221231	20230414	225190	400
20221231	20230406	002170	1500
20221231	20230403	272550	750
20221231	20230407	000070	3500
20221231	20230407	000075	3550
20221231	20230413	002810	600
20221231	20230407	054540	50
20221231	20230421	005680	300
20221231	20230421	023000	105
20221231	20230414	072540	75
20221231	20230420	004380	300
20221231	20230420	002450	50
20221231	20230428	002290	125
20221231	20230418	009770	1000
20221231	20230421	037460	450
20221231	20230410	005500	800
20221231	20230407	004690	3000
20221231	20230426	038500	90
20221231	20230328	017480	300
20221231	20230411	010960	190
20221231	20230414	004450	700
20221231	20230421	009470	300
20221231	20230421	001820	500
20221231	20230418	000390	250
20221231	20230421	041650	100
20221231	20230428	091580	115
20221231	20230414	089980	200
20221231	20230407	075180	140
20221231	20230414	107600	300
20221231	20230407	007540	200
20221231	20230407	248170	200
20221231	20230421	100660	35
20221231	20230420	007860	100
20221231	20230418	200880	150
20221231	20230417	019770	45
20221231	20230428	279000	0
20221231	20230405	017390	1750
20221231	20230426	046890	220
20221231	20230428	063170	100
20221231	20230411	093920	400
20221231	20230414	140070	50
20221231	20230410	011370	50
20221231	20230421	065710	1500
20221231	20230407	008490	400
20221231	20230414	035890	45
20221231	20230421	003100	350
20221231	20230411	067370	50
20221231	20230420	136490	100
20221231	20230424	086710	20
20221231	20230421	014620	100
20221231	20230414	037350	100
20221231	20230411	014910	5
20221231	20230411	014915	10
20221231	20230419	003080	135
20221231	20230419	004980	200
20221231	20230419	004985	250
20221231	20230426	081580	50
20221231	20230414	015750	100
20221231	20230418	080470	70
20221231	20230425	045460	0
20221231	20230421	042380	790
20221231	20230405	017510	70
20221231	20230526	292070	100
20221231	20230526	29207L	100
20221231	20230421	004360	300
20221231	20230421	004365	305
20221231	20230405	004490	600
20221231	20230406	011560	500
20221231	20230425	001430	1200
20221231	20230421	306200	6000
20221231	20230421	003030	2250
20221231	20230421	019440	1000
20221231	20230427	058650	4000
20221231	20230412	336710	0
20221231	20230417	100700	60
20221231	20230427	024830	25
20221231	20230421	067830	30
20221231	20230331	107870	0
20221231	20230411	033530	100
20221231	20230427	075580	150
20221231	20230413	252500	10
20221231	20230428	290690	50
20221231	20230428	336370	100
20221231	20230428	33637K	101
20221231	20230428	33637L	100
20221231	20230421	357780	2000
20221231	20230421	036830	170
20221231	20230420	145730	0
20221231	20230404	004430	500
20221231	20230412	050960	125
20221231	20230418	126720	600
20221231	20230421	017550	10
20221231	20230421	017555	15
20221231	20230411	253840	150
20221231	20230411	25384X	150
20221231	20230418	192440	560
20221231	20230428	057160	500
20221231	20230419	330730	200
20221231	20230412	026890	200
20221231	20230412	245030	0
20221231	20230412	049830	85
20221231	20230410	020710	20
20221231	20230410	134790	400
20221231	20230406	000480	4500
20221231	20230414	131090	25
20221231	20230414	066290	150
20221231	20230411	016590	1250
20221231	20230418	029530	1500
20221231	20230414	004970	500
20221231	20230421	065350	120
20221231	20230424	004170	3750
20221231	20230420	034300	500
20221231	20230421	037090	282
20221231	20230414	035510	500
20221231	20230421	031430	500
20221231	20230421	012580	30
20221231	20230425	031440	750
20221231	20230428	006880	120
20221231	20230421	002800	50
20221231	20230420	005800	150
20221231	20230418	009270	100
20221231	20230418	009275	105
20221231	20230417	002700	10
20221231	20230407	138070	100
20221231	20230428	142120	0
20221231	20230410	002870	50
20221231	20230407	055550	865
20221231	20230331	404990	160
20221231	20230424	001770	100
20221231	20230417	004080	130
20221231	20230421	243840	330
20221231	20230421	24384K	330
20221231	20230417	058210	0
20221231	20230419	222800	500
20221231	20230421	036710	50
20221231	20230421	03671L	50
20221231	20230427	009160	200
20221231	20230414	160980	300
20221231	20230418	052700	500
20221231	20230428	356890	80
20221231	20230428	003410	110
20221231	20230427	037760	50
20221231	20230428	099320	80
20221231	20230428	099325	0
20221231	20230331	049960	450
20221231	20230428	050890	50
20221231	20230410	088850	0
20221231	20230414	067670	400
20221231	20230417	073960	0
20221231	20230418	023460	20
20221231	20230412	264660	450
20221231	20230414	352700	140
20221231	20230421	055070	200
20221231	20230331	112610	500
20221231	20230421	000590	500
20221231	20230421	037340	0
20221231	20230417	297440	0
20221231	20230428	376290	64
20221231	20230428	001040	2500
20221231	20230428	001045	2550
20221231	20230428	00104K	2500
20221231	20230426	000120	500
20221231	20230407	340460	4610
20221231	20230427	097950	2500
20221231	20230427	097955	2550
20221231	20230426	051500	350
20221231	20230421	096530	200
20221231	20230420	101240	180
20221231	20230414	260930	50
20221231	20230414	090430	680
20221231	20230414	090435	685
20221231	20230414	002790	205
20221231	20230414	00279K	667
20221231	20230414	002795	210
20221231	20230418	083930	300
20221231	20230412	036010	70
20221231	20230418	002030	3250
20221231	20230418	183190	225
20221231	20230413	002310	1000
20221231	20230420	267850	500
20221231	20230418	143160	350
20221231	20230405	031690	0
20221231	20230418	054800	250
20221231	20230407	332370	150
20221231	20230414	122900	150
20221231	20230420	104770	75
20221231	20230420	099190	350
20221231	20230417	214430	200
20221231	20230414	040910	100
20221231	20230418	095340	600
20221231	20230425	090150	35
20221231	20230421	149010	150
20221231	20230407	262840	100
20221231	20230420	114840	63
20221231	20230417	027360	20
20221231	20230407	032080	20
20221231	20230420	059120	75
20221231	20230411	068410	50
20221231	20230414	158430	100
20221231	20230419	067160	730
20221231	20230418	001540	220
20221231	20230420	053800	1100
20221231	20230412	260660	130
